Ref_publication_date,Ref_journal,Cell_stack_sequence,Cell_area_measured,ETL_deposition_procedure,Perovskite_deposition_procedure,HTL_deposition_procedure
18/09/2018,Nature Communications,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,2,Unknown,Spin-coating >> Gas reaction,Spin-coating
16/12/2019,Journal of Materials Chemistry A,SLG | FTO | TiO2-c | Al2O3-nt | Perovskite | Spiro-MeOTAD | MoOx | ITO,4.3,Spin-coating | Evaporation >> Anodisation >> Oxidation >> Etching,Spin-coating,Spin-coating
23/11/2018,Solar RRL,SLG | FTO | TiO2-c | TiO2-mp | ZrO2-mp | Perovskite | Carbon,1.55,Spray-pyrolys | Screen printing | Screen printing,Drop-infiltration,Unknown
23/11/2018,Solar RRL,SLG | FTO | TiO2-c | TiO2-mp | ZrO2-mp | Perovskite | Carbon,1.55,Spray-pyrolys | Screen printing | Screen printing,Drop-infiltration,Unknown
07/08/2017,IEEE Journal of Photovoltaics,SLG | ITO | TiO2-np | Perovskite | Spiro-MeOTAD | Au,0.1,Spray-pyrolys | Spin-coating,Spin-coating,Doctor blading
07/08/2017,IEEE Journal of Photovoltaics,SLG | ITO | TiO2-np | Perovskite | Spiro-MeOTAD | Au,0.1,Spray-pyrolys | Spin-coating,Spin-coating,Doctor blading
07/08/2017,IEEE Journal of Photovoltaics,SLG | ITO | TiO2-np | Perovskite | Spiro-MeOTAD | Au,0.1,Spray-pyrolys | Spin-coating,Spin-coating,Doctor blading
07/08/2017,IEEE Journal of Photovoltaics,SLG | ITO | TiO2-np | Perovskite | Spiro-MeOTAD | Au,0.1,Spray-pyrolys | Spin-coating,Spin-coating,Doctor blading
18/10/2019,Journal of Physics D: Applied Physics,PET | ITO | SnO2-np | Perovskite | Spiro-MeOTAD | Ag,15.84,Spin-coating,Spin-coating,Spin-coating
18/10/2019,Journal of Physics D: Applied Physics,PET | ITO | SnO2-np | Perovskite | Spiro-MeOTAD | Ag,15.84,Spin-coating,Spin-coating,Spin-coating
21/11/2019,Advanced Energy Materials,MgF2 | Willow glass | ITO | PTAA | Perovskite | C60 | BCP | Cu,3.3,Evaporation | Evaporation,Doctor blading,Doctor blading
21/11/2019,Advanced Energy Materials,Willow glass | ITO | PTAA | Perovskite | C60 | BCP | Cu,3.3,Evaporation | Evaporation,Doctor blading,Doctor blading
03/09/2019,Joule,SLG | FTO | NiO-c | Perovskite | PCBM-60; Graphene | BCP | Ag,36.1,Spin-coating | Evaporation,Slot-die coating,Spray-pyrolys
03/09/2019,Joule,SLG | FTO | NiO-c | Perovskite | PCBM-60; Graphene | BCP | Ag,36.1,Spin-coating | Evaporation,Slot-die coating,Spray-pyrolys
03/09/2019,Joule,SLG | FTO | NiO-c | Perovskite | Graphitic carbon nitride | PCBM-60; Graphene | BCP | Ag,36.1,Spin-coating | Spin-coating | Evaporation,Slot-die coating,Spray-pyrolys
03/09/2019,Joule,SLG | FTO | NiO-c | Perovskite | Graphitic carbon nitride | PCBM-60; Graphene | BCP | Ag,36.1,Spin-coating | Spin-coating | Evaporation,Slot-die coating,Spray-pyrolys
03/09/2019,Joule,SLG | FTO | NiO-c | Perovskite | Graphitic carbon nitride | PCBM-60; Graphene | BCP | Ag,35.8,Spin-coating | Spin-coating | Evaporation,Slot-die coating,Spray-pyrolys
15/03/2019,Solar Energy Materials and Solar Cells,SLG | ITO | NiO-c | Al2O3-mp | Perovskite | PCBM-60 | Rhodamine 101 | Au | Al,2.125,Spin-coating | Spin-coating,Spin-coating >> Spin-coating,Spin-coating | Spin-coating
25/06/2019,ACS Applied Materials & Interfaces,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,2.72,Spray-pyrolys | Doctor blading,Doctor blading >> CBD,Doctor blading
