NO,Perovskite Thickness,ETL Thickness,Provskite Bandgap,ETL Bandgap,Voc ,Jsc ,FF ,eta ,V_MPP ,J_MPP 
,4.46E-01,1.50E-01,1.55E+00,3.20E+00,0.828808,22.89384212,79.7009,15.1229,0.706382,21.40901566
,4.46E-01,1.61E-01,1.55E+00,3.20E+00,0.828774,22.88276389,79.7022,15.1152,0.706364,21.39864708
,4.46E-01,1.73E-01,1.55E+00,3.20E+00,0.828741,22.87192818,79.7034,15.1077,0.706347,21.38850442
,4.46E-01,1.84E-01,1.55E+00,3.20E+00,0.828709,22.86132825,79.7046,15.1003,0.70633,21.3785814
,4.46E-01,1.96E-01,1.55E+00,3.20E+00,0.828677,22.85095759,79.7058,15.0931,0.706314,21.36887198
,4.46E-01,2.07E-01,1.55E+00,3.20E+00,0.828646,22.84080992,79.7069,15.0861,0.706298,21.35937035
,4.46E-01,2.19E-01,1.55E+00,3.20E+00,0.828615,22.83087918,79.7081,15.0792,0.706282,21.35007093
,4.46E-01,2.30E-01,1.55E+00,3.20E+00,0.828585,22.82115965,79.7092,15.0724,0.706267,21.34096831
,4.57E-01,1.50E-01,1.55E+00,3.20E+00,0.83171,23.01895059,79.5555,15.231,0.707631,21.52388136
,4.57E-01,1.61E-01,1.55E+00,3.20E+00,0.831674,23.00785732,79.5568,15.2232,0.707613,21.51350949
,4.57E-01,1.73E-01,1.55E+00,3.20E+00,0.83164,22.99700705,79.5582,15.2157,0.707595,21.50336382
,4.57E-01,1.84E-01,1.55E+00,3.20E+00,0.831606,22.98639302,79.5594,15.2083,0.707578,21.49343808
,4.57E-01,1.96E-01,1.55E+00,3.20E+00,0.831574,22.97600871,79.5607,15.2011,0.707561,21.4837262
,4.57E-01,2.07E-01,1.55E+00,3.20E+00,0.831541,22.96584781,79.5619,15.194,0.707545,21.47422235
,4.57E-01,2.19E-01,1.55E+00,3.20E+00,0.83151,22.95590426,79.5631,15.187,0.707529,21.46492096
,4.57E-01,2.30E-01,1.55E+00,3.20E+00,0.831479,22.94617231,79.5642,15.1803,0.707513,21.4558166
,4.68E-01,1.50E-01,1.55E+00,3.20E+00,0.834667,23.13821207,79.4044,15.3351,0.708897,21.63239989
,4.68E-01,1.61E-01,1.55E+00,3.20E+00,0.834631,23.12710539,79.4059,15.3274,0.708879,21.6220268
,4.68E-01,1.73E-01,1.55E+00,3.20E+00,0.834596,23.11624214,79.4072,15.3198,0.708861,21.61188012
,4.68E-01,1.84E-01,1.55E+00,3.20E+00,0.834561,23.10561554,79.4086,15.3124,0.708843,21.60195358
,4.68E-01,1.96E-01,1.55E+00,3.20E+00,0.834527,23.09521906,79.4099,15.3051,0.708826,21.59224111
,4.68E-01,2.07E-01,1.55E+00,3.20E+00,0.834494,23.08504636,79.4112,15.298,0.708809,21.58273687
,4.68E-01,2.19E-01,1.55E+00,3.20E+00,0.834461,23.07509137,79.4124,15.2911,0.708792,21.57343525
,4.68E-01,2.30E-01,1.55E+00,3.20E+00,0.834429,23.06534836,79.4137,15.2843,0.708775,21.56433085
,4.79E-01,1.50E-01,1.55E+00,3.20E+00,0.837681,23.25195207,79.3523,15.456,0.710099,21.76601579
,4.79E-01,1.61E-01,1.55E+00,3.20E+00,0.837644,23.24083343,79.3538,15.4482,0.710089,21.75538027
,4.79E-01,1.73E-01,1.55E+00,3.20E+00,0.837607,23.2299586,79.3554,15.4406,0.710078,21.74497672
,4.79E-01,1.84E-01,1.55E+00,3.20E+00,0.837572,23.21932079,79.3568,15.4332,0.710068,21.73479872
,4.79E-01,1.96E-01,1.55E+00,3.20E+00,0.837537,23.20891344,79.3583,15.4259,0.710059,21.72484005
,4.79E-01,2.07E-01,1.55E+00,3.20E+00,0.837502,23.19873023,79.3597,15.4188,0.710049,21.71509472
,4.79E-01,2.19E-01,1.55E+00,3.20E+00,0.837468,23.18876504,79.361,15.4118,0.710039,21.70555701
,4.79E-01,2.30E-01,1.55E+00,3.20E+00,0.837435,23.17901214,79.3624,15.405,0.71003,21.69622136
,4.89E-01,1.50E-01,1.55E+00,3.20E+00,0.840752,23.3604754,79.1855,15.5523,0.710814,21.87958731
,4.89E-01,1.61E-01,1.55E+00,3.20E+00,0.840713,23.3493461,79.1872,15.5445,0.710803,21.86894597
,4.89E-01,1.73E-01,1.55E+00,3.20E+00,0.840675,23.33846094,79.1888,15.5369,0.710793,21.85853691
,4.89E-01,1.84E-01,1.55E+00,3.20E+00,0.840639,23.32781313,79.1903,15.5294,0.710782,21.84835367
,4.89E-01,1.96E-01,1.55E+00,3.20E+00,0.840602,23.31739609,79.1919,15.5221,0.710772,21.83839005
,4.89E-01,2.07E-01,1.55E+00,3.20E+00,0.840567,23.30720349,79.1933,15.515,0.710762,21.82864002
